G_x,G_y,G_z, A_X, A_Y, A_Z
5.824, 0.885, 9.855, 0.409, -0.191, 0.971
-36.702, 8.893, 6.183, 0.478, -0.044, 0.896
71.557, 22.023, 0.061, 0.446, -0.029, 1.146
-250.137, 52.267, -12.450, 0.478, -0.485, 0.927
250.130, -19.260, 5.832, 0.275, -0.406, 0.806
-124.450, 40.855, 13.221, 0.133, 0.281, 1.079
-217.405, 45.412, -7.038, 0.031, -0.520, 0.760
250.130, -65.145, -11.427, 0.224, -0.598, 1.229
61.313, 61.084, -12.634, 0.174, 0.115, 0.989
-250.137, 54.359, -9.305, -0.044, -0.825, 0.687
81.351, -33.473, -9.672, 0.056, -0.793, 0.573
250.130, -132.076, -34.969, 0.095, -0.482, 1.333
91.962, 61.679, -35.382, -0.079, 0.273, 1.058
-250.137, 65.679, -69.840, -0.078, 0.516, 0.822
-250.137, -65.511, 15.573, -0.062, -0.494, 0.604
220.794, -86.969, 9.267, 0.058, -0.505, 0.953
229.802, 9.679, 24.305, 0.019, 0.427, 1.102
-250.137, 29.542, -49.206, -0.023, 0.431, 1.089
-154.489, 3.389, 37.076, -0.204, -0.863, 0.359
250.130, 44.641, 32.634, -0.159, -0.729, 0.358
