G_x,G_y,G_z, A_X, A_Y, A_Z
-210.908, 10.267, 11.893, -0.058, 0.648, 1.018
-179.275, 41.023, 67.305, -0.254, -0.825, 0.829
250.130, -62.061, 17.359, -0.096, -0.381, 0.009
190.664, -106.427, 71.260, -0.202, 0.592, 0.681
-250.137, 18.679, -11.641, -0.191, 0.914, 0.979
-250.137, 42.382, -45.168, -0.388, -0.710, 0.998
250.130, 32.756, -35.229, -0.137, -0.218, 0.438
250.130, -61.290, 89.008, -0.197, 0.652, 0.409
-250.137, 80.023, 18.229, 0.011, 0.757, 1.282
-250.137, -34.664, -71.992, -0.280, -0.900, 0.698
-193.427, 9.695, -75.344, 0.030, -1.320, 0.842
250.130, 37.336, 163.038, -0.237, -0.875, 0.641
57.321, 1.802, 31.351, -0.276, 0.513, 0.223
-250.137, -139.664, 1.115, -0.293, 0.432, 0.529
-250.137, -70.282, -106.603, -0.186, -1.752, 0.369
250.130, -12.328, 41.160, -0.313, -0.160, 0.561
69.198, 32.122, 2.794, 0.118, 0.682, 0.627
-250.137, -33.878, -23.092, -0.257, -0.001, 0.950
-48.672, -49.641, -17.443, -0.042, -0.983, 0.805
250.130, -4.099, 68.023, -0.117, -0.517, 0.680
